Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
55+,Male,Emirati,Student,"20,001-35,000",Sharjah,Frequently,Friends/Family,Diabetic,"Soft Drinks, Juices, Tea/Coffee, Other",Somewhat Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Lack of Time, Lack of Information, Taste Preferences",Cafes/Restaurants,>25,Very Likely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Berries, Citrus","Digestion, Energy, Weight Management, Skin/Hair health","High Quality, Innovative","BrandE, Brand_Y",Likely,Yes,
Under 18,Male,Arab Expat,Homemaker,"5,000-10,000",Dubai,Daily,Social Media,Diabetic,"Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Important,"Low Sugar, Natural Ingredients, Added Vitamins","Cost, Lack of Information, Taste Preferences",Online,<5,Neutral,Maybe,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Other","Immunity, Energy, Stress Relief","Not Tasty, Not Widely Available, High Quality","Brand_Q, BrandA",Neutral,Yes,"Great concept, interested!"
Under 18,Male,Arab Expat,Business Owner,">50,000",Sharjah,Daily,Other,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks",Extremely Important,"Natural Ingredients, Added Vitamins, Affordable Price, Other","Cost, Limited Options",Other,16-25,Unlikely,Yes,"Discounts, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical, Herbal, Chocolate","Energy, Weight Management, No Specific Issues","Not Tasty, High Quality","BrandC, BrandB",Very Likely,Yes,
Under 18,Male,Western Expat,Other,"20,001-35,000",Dubai,Never,Other,None,"Water, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Added Vitamins","Lack of Time, Cost, Limited Options",Cafes/Restaurants,<5,Very Unlikely,Yes,Other,"Berries, Citrus, Tropical, Chocolate","Immunity, Skin/Hair health, Stress Relief","Not Tasty, Not Widely Available, High Quality","BrandE, Brand_T",Very Likely,Yes,
45-54,Male,Arab Expat,Working Professional,"35,001-50,000",Ajman,Occasionally,Health Professionals,Vegetarian,"Water, Juices, Sports Drinks, Milk",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Lack of Information, None",Gyms,>25,Likely,Yes,"Free Samples, Discounts, Recommendations, Health Benefits","Berries, Tropical, Chocolate, Other","Energy, Stress Relief, No Specific Issues","Good Value, High Quality","BrandC, BrandE, BrandB",Likely,No,
35-44,Prefer not to say,Western Expat,Working Professional,"5,000-10,000",Ras Al Khaimah,Never,Friends/Family,Gluten-Free,"Water, Juices, Tea/Coffee, Milk",Very Important,"Natural Ingredients, Added Vitamins, Affordable Price","Lack of Time, Cost, Limited Options, None",Cafes/Restaurants,11-15,Neutral,Yes,"Free Samples, Discounts, Health Benefits","Tropical, Herbal, Chocolate, Other","Immunity, Skin/Hair health, No Specific Issues","Too Expensive, High Quality","BrandC, Brand_L, BrandD",Unlikely,Yes,
45-54,Prefer not to say,Asian Expat,Retired,"5,000-10,000",Dubai,Never,Magazines/TV,Vegan,"Water, Soft Drinks, Juices, Tea/Coffee, Milk",Somewhat Important,"Taste, Low Sugar, Added Vitamins, Convenience, Other","Cost, Limited Options, None",Online,16-25,Likely,No,"Discounts, Attractive Packaging","Berries, Chocolate","Digestion, Energy, Weight Management, Stress Relief","Not Tasty, High Quality","BrandE, Brand_I, BrandD",Likely,Yes,
Under 18,Female,Arab Expat,Homemaker,"35,001-50,000",Other,Occasionally,Social Media,Diabetic,"Water, Juices, Energy Drinks, Tea/Coffee",Not Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation, Convenience, Other","Lack of Time, Cost, Taste Preferences",Gyms,16-25,Very Likely,No,Discounts,"Tropical, Herbal","Immunity, Energy, Weight Management","Too Expensive, Not Tasty, Good Value","BrandC, Brand_R",Very Likely,Maybe,
35-44,Prefer not to say,Emirati,Working Professional,"5,000-10,000",Sharjah,Daily,Magazines/TV,"Vegan, Gluten-Free","Water, Soft Drinks, Juices, Sports Drinks",Extremely Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Lack of Information, None",Online,>25,Very Likely,Maybe,Discounts,"Berries, Herbal, Plain","Immunity, Energy, Skin/Hair health, Stress Relief","Too Expensive, Other","BrandE, Brand_Y",Likely,No,
55+,Other,Emirati,Retired,"20,001-35,000",Sharjah,Frequently,Social Media,"Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks",Somewhat Important,"Taste, Low Sugar, Added Vitamins",Limited Options,Gyms,<5,Unlikely,No,"Free Samples, Discounts, Health Benefits","Berries, Tropical, Chocolate, Other","Digestion, Energy","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandA, BrandB",Unlikely,Maybe,
25-34,Other,Asian Expat,Retired,"20,001-35,000",Dubai,Occasionally,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Very Important,"Taste, Brand Reputation","Lack of Time, Cost, Limited Options, None",Other,11-15,Neutral,No,"Discounts, Other","Berries, Citrus, Tropical, Herbal","Immunity, Energy, Weight Management, Stress Relief","Too Expensive, High Quality","Brand_P, BrandB",Neutral,Maybe,
25-34,Other,Emirati,Homemaker,"20,001-35,000",Sharjah,Rarely,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Juices, Energy Drinks, Sports Drinks, Milk",Somewhat Important,"Natural Ingredients, Added Vitamins, Affordable Price",Lack of Information,Other,16-25,Very Likely,Maybe,"Discounts, Recommendations, Attractive Packaging, Health Benefits, Other",Berries,"Immunity, Energy, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Good Value","BrandC, Brand_P",Unlikely,Maybe,
25-34,Female,Western Expat,Homemaker,"35,001-50,000",Other,Daily,Other,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic",Energy Drinks,Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience","Lack of Time, Cost, Limited Options, Taste Preferences, None",Cafes/Restaurants,>25,Likely,No,"Free Samples, Recommendations, Attractive Packaging",Chocolate,"Digestion, Weight Management","Too Expensive, Not Tasty, Innovative","Brand_Y, BrandD",Neutral,Yes,
45-54,Prefer not to say,Arab Expat,Other,"20,001-35,000",Ajman,Occasionally,Friends/Family,Gluten-Free,"Tea/Coffee, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Taste Preferences, None",Supermarkets,>25,Very Unlikely,No,"Discounts, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain, Other","Digestion, Skin/Hair health","Too Expensive, Not Widely Available, Other","BrandE, BrandA, BrandD",Very Likely,No,
55+,Other,Other,Other,"35,001-50,000",Ras Al Khaimah,Occasionally,Magazines/TV,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Brand Reputation",Lack of Time,Cafes/Restaurants,5-10,Very Unlikely,Yes,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Plain","Immunity, Digestion, No Specific Issues","Good Value, Innovative","BrandE, Brand_K",Very Unlikely,Yes,
55+,Prefer not to say,Arab Expat,Homemaker,"35,001-50,000",Ras Al Khaimah,Occasionally,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Lack of Time, Cost, Limited Options, Taste Preferences, None",Online,5-10,Neutral,Yes,"Discounts, Attractive Packaging, Health Benefits","Berries, Herbal","Energy, Stress Relief","Not Tasty, Not Widely Available, Good Value, High Quality","BrandC, BrandE, Brand_S",Likely,No,
35-44,Other,Arab Expat,Other,"35,001-50,000",Sharjah,Frequently,Friends/Family,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Milk",Not Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Taste Preferences, None",Other,<5,Neutral,Maybe,"Free Samples, Recommendations, Health Benefits","Berries, Citrus, Tropical, Herbal","Digestion, Energy, Skin/Hair health","High Quality, Innovative","BrandD, Brand_S",Very Unlikely,Maybe,
55+,Male,Other,Business Owner,"5,000-10,000",Dubai,Never,Magazines/TV,Gluten-Free,"Water, Sports Drinks, Milk",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Cost, Limited Options",Other,>25,Very Likely,Yes,"Free Samples, Health Benefits","Berries, Citrus, Herbal, Chocolate","Immunity, Weight Management, Skin/Hair health, Stress Relief",Not Tasty,BrandC,Unlikely,No,
25-34,Prefer not to say,Emirati,Student,"<5,000",Sharjah,Never,Social Media,"Vegan, Gluten-Free, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee, Other",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Cost, Taste Preferences, None",Cafes/Restaurants,<5,Very Unlikely,No,"Free Samples, Recommendations","Berries, Citrus, Tropical, Chocolate","Energy, Weight Management, Skin/Hair health","Too Expensive, Not Tasty, Good Value","BrandA, Brand_Y",Neutral,Maybe,
55+,Prefer not to say,Emirati,Working Professional,">50,000",Other,Occasionally,Health Professionals,Vegan,"Water, Soft Drinks, Energy Drinks",Very Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Time, Lack of Information, Taste Preferences",Online,<5,Unlikely,Yes,"Free Samples, Discounts, Health Benefits","Citrus, Tropical, Chocolate","Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Other","Brand_J, BrandB",Unlikely,Yes,
35-44,Other,Arab Expat,Working Professional,"35,001-50,000",Abu Dhabi,Occasionally,Other,Diabetic,"Water, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation, Convenience, Other","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Cafes/Restaurants,11-15,Unlikely,Yes,"Free Samples, Recommendations, Attractive Packaging, Other","Berries, Tropical, Herbal, Chocolate","Weight Management, Stress Relief, No Specific Issues","Not Tasty, Good Value, Innovative","Brand_T, BrandD",Unlikely,Maybe,
55+,Prefer not to say,Emirati,Working Professional,"20,001-35,000",Dubai,Never,Health Professionals,Vegetarian,"Water, Soft Drinks, Sports Drinks, Tea/Coffee, Other",Not Important,"Taste, Low Sugar, Brand Reputation","Lack of Time, Cost, Lack of Information, Taste Preferences",Cafes/Restaurants,5-10,Unlikely,Maybe,"Free Samples, Attractive Packaging, Health Benefits","Berries, Tropical, Herbal, Chocolate","Immunity, Energy, No Specific Issues","Too Expensive, Not Tasty, Good Value, High Quality","BrandE, BrandD",Very Likely,Yes,
55+,Male,Western Expat,Working Professional,"35,001-50,000",Ajman,Frequently,Magazines/TV,Vegan,"Water, Tea/Coffee, Milk",Very Important,"Taste, Low Sugar, Natural Ingredients, Other","Lack of Information, Limited Options, Taste Preferences, None",Cafes/Restaurants,<5,Unlikely,No,Attractive Packaging,"Citrus, Chocolate, Plain","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief, No Specific Issues","High Quality, Innovative","BrandA, Brand_R",Unlikely,Yes,
25-34,Other,Western Expat,Business Owner,">50,000",Other,Daily,Other,"Vegan, Gluten-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Extremely Important,"Taste, Added Vitamins, Brand Reputation, Convenience, Other","Limited Options, Taste Preferences",Online,11-15,Very Likely,Maybe,"Free Samples, Recommendations, Attractive Packaging","Berries, Herbal, Chocolate, Plain","Energy, Weight Management, No Specific Issues","Too Expensive, Innovative","BrandC, BrandE",Likely,Yes,
55+,Male,Other,Business Owner,"10,001-20,000",Ajman,Never,Health Professionals,"Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Tea/Coffee, Milk, Other",Extremely Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Cost, Limited Options",Supermarkets,11-15,Likely,No,"Free Samples, Discounts, Other","Citrus, Tropical, Other","Energy, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandE, Brand_V",Very Likely,Maybe,
45-54,Other,Arab Expat,Student,"5,000-10,000",Dubai,Occasionally,Health Professionals,"Vegan, Gluten-Free","Water, Juices, Energy Drinks, Sports Drinks, Milk",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Convenience","Lack of Information, Limited Options",Other,5-10,Unlikely,No,"Attractive Packaging, Health Benefits","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, High Quality","BrandC, Brand_Z",Very Unlikely,Yes,
35-44,Prefer not to say,Western Expat,Homemaker,"20,001-35,000",Ajman,Frequently,Magazines/TV,"Vegan, Gluten-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Other",Very Important,"Taste, Affordable Price","Cost, None",Gyms,5-10,Very Likely,No,"Free Samples, Other","Citrus, Herbal, Plain","Immunity, Digestion, Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, Good Value, High Quality",BrandC,Unlikely,No,
35-44,Other,Asian Expat,Other,"5,000-10,000",Other,Frequently,Other,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price","Lack of Time, Lack of Information, Taste Preferences",Online,>25,Unlikely,Yes,Free Samples,"Chocolate, Plain","Energy, Weight Management, Skin/Hair health","Not Tasty, Innovative","BrandC, Brand_Y, BrandD",Very Unlikely,No,
35-44,Female,Emirati,Student,"5,000-10,000",Other,Occasionally,Other,"Vegetarian, Gluten-Free","Water, Sports Drinks, Tea/Coffee, Milk",Not Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation, Convenience","Lack of Time, Lack of Information",Online,<5,Unlikely,Maybe,"Attractive Packaging, Other","Tropical, Herbal, Chocolate","Immunity, Energy, Weight Management, Skin/Hair health, No Specific Issues",High Quality,"Brand_N, BrandB",Likely,No,
55+,Other,Arab Expat,Working Professional,"10,001-20,000",Sharjah,Rarely,Health Professionals,"Vegan, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Milk",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience, Other","Taste Preferences, None",Online,11-15,Likely,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Citrus, Herbal, Chocolate","Immunity, Energy, Skin/Hair health","Not Tasty, High Quality, Other","Brand_N, BrandB",Likely,No,
45-54,Prefer not to say,Western Expat,Other,"35,001-50,000",Abu Dhabi,Frequently,Other,Lactose-Free,"Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Cafes/Restaurants,>25,Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Digestion, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Good Value, High Quality","BrandC, Brand_U",Likely,Yes,
Under 18,Male,Other,Student,"20,001-35,000",Dubai,Never,Other,"Vegetarian, Lactose-Free, Diabetic","Water, Sports Drinks, Milk, Other",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins",Limited Options,Cafes/Restaurants,<5,Very Likely,Maybe,"Discounts, Health Benefits","Berries, Tropical, Herbal, Plain","Immunity, Energy, Weight Management, Skin/Hair health, Stress Relief",Not Widely Available,"BrandA, BrandB, Brand_R",Very Unlikely,No,
Under 18,Male,Western Expat,Working Professional,"<5,000",Ras Al Khaimah,Rarely,Social Media,"Vegetarian, Vegan, Diabetic","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Low Sugar, Convenience, Other",Lack of Information,Online,<5,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Health Benefits","Citrus, Plain","Energy, Stress Relief, No Specific Issues","Not Tasty, Good Value","BrandE, BrandB",Very Unlikely,Maybe,
35-44,Female,Asian Expat,Student,"5,000-10,000",Abu Dhabi,Daily,Magazines/TV,Diabetic,"Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee",Very Important,"Natural Ingredients, Added Vitamins, Affordable Price","Limited Options, Taste Preferences, None",Other,>25,Very Unlikely,Yes,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Herbal, Plain","Immunity, Energy, Stress Relief","Good Value, High Quality, Innovative","BrandC, Brand_P",Neutral,No,
18-24,Other,Western Expat,Working Professional,">50,000",Ras Al Khaimah,Never,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free",Tea/Coffee,Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Cost, Lack of Information, None",Gyms,11-15,Neutral,No,"Recommendations, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate, Other","Immunity, Skin/Hair health","Too Expensive, Not Widely Available, Good Value","BrandD, Brand_M",Very Likely,No,
Under 18,Other,Arab Expat,Retired,"<5,000",Ajman,Occasionally,Social Media,"Vegetarian, Vegan",Tea/Coffee,Not Important,"Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost, Lack of Information, Limited Options",Supermarkets,>25,Unlikely,Maybe,"Attractive Packaging, Health Benefits","Chocolate, Other","Immunity, Stress Relief, No Specific Issues","Too Expensive, Innovative, Other","Brand_J, BrandB",Unlikely,Maybe,
Under 18,Male,Other,Working Professional,"<5,000",Ras Al Khaimah,Rarely,Health Professionals,"Gluten-Free, Lactose-Free","Water, Sports Drinks",Extremely Important,"Low Sugar, Convenience, Other","Cost, Lack of Information",Convenience Stores,<5,Unlikely,Yes,"Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical","Immunity, Digestion, Energy, Weight Management, Stress Relief","Good Value, High Quality, Innovative",BrandA,Very Likely,Maybe,
25-34,Male,Other,Retired,"35,001-50,000",Ras Al Khaimah,Never,Friends/Family,"Vegan, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Very Important,"Natural Ingredients, Added Vitamins, Affordable Price","Lack of Time, Lack of Information",Other,>25,Very Likely,Yes,"Free Samples, Recommendations, Other","Berries, Citrus",Immunity,"Not Widely Available, Good Value, Other","Brand_I, BrandD",Likely,No,
18-24,Prefer not to say,Asian Expat,Business Owner,"<5,000",Other,Frequently,Health Professionals,Vegan,"Water, Juices, Sports Drinks, Milk",Not Important,"Added Vitamins, Brand Reputation","Lack of Time, Cost, Limited Options, None",Other,>25,Unlikely,Yes,"Free Samples, Other","Berries, Citrus, Tropical, Chocolate, Plain, Other","Immunity, Digestion, Energy",High Quality,"BrandE, Brand_S",Unlikely,Yes,
18-24,Female,Arab Expat,Working Professional,"20,001-35,000",Other,Occasionally,Social Media,"Gluten-Free, Diabetic","Water, Soft Drinks, Tea/Coffee, Other",Important,"Added Vitamins, Convenience","Lack of Information, Limited Options, None",Convenience Stores,<5,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging","Berries, Herbal, Other","Immunity, Energy, Skin/Hair health, Stress Relief","Good Value, Innovative","BrandC, Brand_T",Neutral,Maybe,
35-44,Male,Asian Expat,Student,"35,001-50,000",Other,Rarely,Other,"Vegetarian, Lactose-Free","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee",Not Important,"Natural Ingredients, Affordable Price, Convenience","Lack of Information, Limited Options",Convenience Stores,5-10,Very Unlikely,No,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Herbal, Plain, Other","Digestion, Stress Relief","Good Value, Innovative","BrandE, Brand_K",Very Likely,Yes,
18-24,Other,Asian Expat,Other,">50,000",Ras Al Khaimah,Frequently,Social Media,"Vegetarian, Diabetic","Water, Tea/Coffee",Somewhat Important,"Taste, Low Sugar, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost, Lack of Information, None",Online,11-15,Unlikely,No,"Free Samples, Other","Berries, Tropical, Plain","Immunity, Weight Management, Skin/Hair health","Not Tasty, Not Widely Available, Good Value, Other","BrandB, Brand_Y",Likely,Yes,
18-24,Male,Asian Expat,Business Owner,"<5,000",Ajman,Occasionally,Magazines/TV,"Vegetarian, Vegan, Lactose-Free","Water, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Convenience, Other","Lack of Time, Cost, Lack of Information",Gyms,<5,Very Unlikely,Maybe,"Attractive Packaging, Other","Citrus, Tropical, Herbal","Immunity, Digestion, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty","Brand_J, BrandD",Unlikely,No,
Under 18,Prefer not to say,Western Expat,Retired,"35,001-50,000",Dubai,Occasionally,Other,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Tea/Coffee, Milk",Somewhat Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation","Lack of Time, Taste Preferences, None",Other,5-10,Very Unlikely,Yes,"Free Samples, Discounts, Health Benefits, Other","Citrus, Tropical, Herbal, Plain","Immunity, Energy, Skin/Hair health, Stress Relief","Not Tasty, Innovative, Other","BrandE, Brand_K",Unlikely,Yes,
45-54,Other,Emirati,Other,"20,001-35,000",Sharjah,Rarely,Health Professionals,"Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Important,"Low Sugar, Natural Ingredients, Affordable Price","Lack of Time, None",Other,>25,Neutral,No,"Free Samples, Recommendations","Tropical, Other","Immunity, Digestion, Weight Management, Skin/Hair health","Good Value, High Quality, Innovative","BrandC, Brand_P",Likely,Yes,
25-34,Prefer not to say,Western Expat,Retired,"5,000-10,000",Ajman,Rarely,Other,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins","Lack of Information, Taste Preferences, None",Supermarkets,5-10,Very Likely,Maybe,"Discounts, Attractive Packaging","Berries, Citrus, Tropical, Herbal, Other","Weight Management, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available","Brand_N, BrandA, BrandD",Very Unlikely,Yes,
55+,Prefer not to say,Arab Expat,Homemaker,"10,001-20,000",Other,Rarely,Magazines/TV,"Gluten-Free, Lactose-Free","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation","Lack of Time, Lack of Information, Limited Options",Convenience Stores,<5,Very Unlikely,Maybe,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Tropical, Chocolate, Other","Digestion, Energy, Skin/Hair health, No Specific Issues","Not Tasty, High Quality, Innovative",BrandE,Very Likely,No,
35-44,Prefer not to say,Asian Expat,Other,"35,001-50,000",Ajman,Never,Social Media,"Vegan, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Tea/Coffee, Milk, Other",Very Important,"Taste, Natural Ingredients, Added Vitamins, Convenience, Other","Lack of Time, Cost, Taste Preferences, None",Convenience Stores,<5,Very Likely,No,"Free Samples, Discounts, Recommendations","Berries, Citrus, Tropical, Chocolate, Plain","Digestion, Energy, No Specific Issues","Innovative, Other","BrandB, Brand_Y",Unlikely,Maybe,
Under 18,Female,Asian Expat,Homemaker,">50,000",Dubai,Occasionally,Health Professionals,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Tea/Coffee",Somewhat Important,"Low Sugar, Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Lack of Information, Taste Preferences",Other,>25,Neutral,No,"Free Samples, Recommendations, Attractive Packaging, Health Benefits",Other,"Digestion, Weight Management, No Specific Issues","Not Widely Available, Good Value, Other","BrandE, BrandA",Very Unlikely,No,
Under 18,Other,Emirati,Homemaker,"10,001-20,000",Abu Dhabi,Daily,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Tea/Coffee, Milk",Not Important,"Natural Ingredients, Added Vitamins, Affordable Price","Limited Options, Taste Preferences",Convenience Stores,<5,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Berries, Citrus","Digestion, No Specific Issues","Good Value, Other","Brand_N, BrandA, BrandD",Neutral,Maybe,
35-44,Other,Other,Business Owner,"5,000-10,000",Other,Frequently,Friends/Family,"Vegan, Gluten-Free","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Not Important,"Taste, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Cost, Lack of Information, None",Online,16-25,Neutral,No,"Free Samples, Discounts, Recommendations","Citrus, Tropical, Herbal",Immunity,"Not Tasty, Not Widely Available, Good Value, Other","BrandA, Brand_V",Unlikely,Yes,
18-24,Prefer not to say,Asian Expat,Other,">50,000",Dubai,Rarely,Social Media,Vegetarian,"Water, Juices, Tea/Coffee, Milk",Very Important,"Low Sugar, Affordable Price, Convenience","Lack of Time, Cost, Lack of Information, None",Supermarkets,5-10,Unlikely,No,"Free Samples, Attractive Packaging, Health Benefits, Other","Tropical, Herbal","Immunity, Digestion, Energy, Stress Relief",Not Widely Available,"BrandA, BrandB, Brand_L",Unlikely,Maybe,
55+,Female,Western Expat,Retired,"20,001-35,000",Abu Dhabi,Occasionally,Health Professionals,"Vegetarian, Diabetic","Water, Soft Drinks, Juices, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Natural Ingredients, Added Vitamins, Convenience, Other","Lack of Time, Cost, Lack of Information, Taste Preferences",Other,16-25,Neutral,No,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Plain","Immunity, Digestion, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Good Value","BrandC, BrandD",Neutral,Maybe,
Under 18,Male,Asian Expat,Working Professional,">50,000",Sharjah,Frequently,Health Professionals,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Lack of Time, Cost, Limited Options, Taste Preferences, None",Cafes/Restaurants,16-25,Neutral,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging","Chocolate, Plain","Digestion, Energy, Skin/Hair health, Stress Relief","Not Tasty, Other","BrandC, Brand_O",Neutral,Maybe,
55+,Other,Arab Expat,Business Owner,"5,000-10,000",Ajman,Daily,Other,Vegetarian,"Soft Drinks, Juices, Milk",Extremely Important,"Taste, Low Sugar, Affordable Price, Other","Lack of Time, Lack of Information, Limited Options, None",Supermarkets,5-10,Neutral,No,"Discounts, Recommendations, Other","Berries, Citrus, Tropical, Herbal","Immunity, Energy, Weight Management, Stress Relief","Not Widely Available, Good Value, Other","Brand_I, BrandD",Unlikely,Maybe,
